Molecule Name,SMILES,Collections,A. stephenis hand-to-cage repellent testing: Experiment number,A. stephenis hand-to-cage repellent testing: Duration of recording (Min.),A. stephenis hand-to-cage repellent testing: Concentration (µg/cm2),A. stephenis hand-to-cage repellent testing: Evaporation time (Min.),A. stephenis hand-to-cage repellent testing: Compound volume (ml),A. stephenis hand-to-cage repellent testing: Surface (cm2),A. stephenis hand-to-cage repellent testing: Material,A. stephenis hand-to-cage repellent testing: Volunteer,A. stephenis hand-to-cage repellent testing: Volunteer alias,A. stephenis hand-to-cage repellent testing: Test Date,A. stephenis hand-to-cage repellent testing: Repellency (%),A. stephenis hand-to-cage repellent testing: Average repellency (%),A. stephenis hand-to-cage repellent testing: Average repellency (%) Standard Deviation (±),A. stephenis hand-to-cage repellent testing: Average repellency (%) Count,A. stephenis hand-to-cage repellent testing: Concentration percentage (%)
TQ-0044235,CCOC(=O)CCNCCc1ccccc1,"Expansion set 4, Tested on Culex",22JKON095,130,,5,1,37.5,Cheese cloth,Jessica,D,25-12-1900,25,39.2,20,2,
TQ-0044235,CCOC(=O)CCNCCc1ccccc1,"Expansion set 4, Tested on Culex",22JKON095,130,,5,1,37.5,Cheese cloth,Jessica,D,25-12-1900,53.3,39.2,20,2,
TQ-0044232,CC(C)(C)OC(=O)N1CCC(C(C)(C)N)CC1,"Expansion set 4, Tested on Culex",22JKON095,130,,5,1,37.5,Cheese cloth,Jessica,D,25-12-1900,10.3,9.93,0.581,2,
TQ-0044232,CC(C)(C)OC(=O)N1CCC(C(C)(C)N)CC1,"Expansion set 4, Tested on Culex",22JKON095,130,,5,1,37.5,Cheese cloth,Jessica,D,25-12-1900,9.52,9.93,0.581,2,
TQ-0044230,CC(=O)C1CCN(C(=O)OC(C)(C)C)C1,"Expansion set 4, Tested on Culex",22RHEN061,5,130,360,1,37.5,Cheese cloth,Rob,B,22-Dec,71.4,90.5,16.5,3,
TQ-0044230,CC(=O)C1CCN(C(=O)OC(C)(C)C)C1,"Expansion set 4, Tested on Culex",22JKON095,130,,5,1,37.5,Cheese cloth,Jessica,D,25-12-1900,100,90.5,16.5,3,
TQ-0044230,CC(=O)C1CCN(C(=O)OC(C)(C)C)C1,"Expansion set 4, Tested on Culex",22JKON095,130,,5,1,37.5,Cheese cloth,Jessica,D,25-12-1900,100,90.5,16.5,3,
TQ-0044221,CCCC1CCN(C(=O)OC(C)(C)C)CC1,"Expansion set 4, Tested on Culex",22RHEN061,5,130,360,1,37.5,Cheese cloth,Rob,B,22-Dec,75,89.9,13.2,3,
TQ-0044221,CCCC1CCN(C(=O)OC(C)(C)C)CC1,"Expansion set 4, Tested on Culex",22JKON095,130,,5,1,37.5,Cheese cloth,Jessica,D,25-12-1900,94.7,89.9,13.2,3,
TQ-0044221,CCCC1CCN(C(=O)OC(C)(C)C)CC1,"Expansion set 4, Tested on Culex",22JKON095,130,,5,1,37.5,Cheese cloth,Jessica,D,25-12-1900,100,89.9,13.2,3,
TQ-0044185,CC(C)(N)C(=O)NCC1CCCC1,Expansion set 3,23JKON052,130,,5,1,37.5,Cheese cloth,Jessica,D,25-7-2023,93.8,79.3,25.4,3,
TQ-0044185,CC(C)(N)C(=O)NCC1CCCC1,Expansion set 3,23JKON052,130,,5,1,37.5,Cheese cloth,Jessica,D,25-7-2023,94.1,79.3,25.4,3,
TQ-0044185,CC(C)(N)C(=O)NCC1CCCC1,Expansion set 3,23JKON051,130,,5,1,37.5,Cheese cloth,Jessica,D,21-7-2023,50,79.3,25.4,3,
TQ-0044166,CC(C)(C)OC(=O)N1CCC2(CCCC2=O)CC1,Expansion set 3,22JKON055,5,,360,1,37.5,cheese cloth,Jessica,D,18-10-2022,20,17.1,4.04,2,
TQ-0044166,CC(C)(C)OC(=O)N1CCC2(CCCC2=O)CC1,Expansion set 3,22JKON055,5,,360,1,37.5,cheese cloth,Jessica,D,18-10-2022,14.3,17.1,4.04,2,
TQ-0044165,CC(C)(C)OC(=O)N1CCC2(CCC2=O)CC1,"Expansion set 3, Tested on Culex",22RHEN060,5,130,360,1,37.5,Cheese cloth,Rob,B,1-Nov,92.3,66.4,30.9,7,
TQ-0044165,CC(C)(C)OC(=O)N1CCC2(CCC2=O)CC1,"Expansion set 3, Tested on Culex",22RHEN060,5,130,360,1,37.5,Cheese cloth,Rob,B,1-Nov,100,66.4,30.9,7,
TQ-0044165,CC(C)(C)OC(=O)N1CCC2(CCC2=O)CC1,"Expansion set 3, Tested on Culex",22RHEN060,5,130,360,1,37.5,Cheese cloth,Rob,B,2-Nov,91.3,66.4,30.9,7,
TQ-0044165,CC(C)(C)OC(=O)N1CCC2(CCC2=O)CC1,"Expansion set 3, Tested on Culex",22JKON063,5,,360,1,37.5,cheese cloth,Jessica,D,24-10-2022,77.8,66.4,30.9,7,
TQ-0044165,CC(C)(C)OC(=O)N1CCC2(CCC2=O)CC1,"Expansion set 3, Tested on Culex",22JKON063,5,,360,1,37.5,cheese cloth,Jessica,D,24-10-2022,39.1,66.4,30.9,7,
TQ-0044165,CC(C)(C)OC(=O)N1CCC2(CCC2=O)CC1,"Expansion set 3, Tested on Culex",22JKON055,5,,360,1,37.5,cheese cloth,Jessica,D,18-10-2022,25.8,66.4,30.9,7,
TQ-0044165,CC(C)(C)OC(=O)N1CCC2(CCC2=O)CC1,"Expansion set 3, Tested on Culex",22JKON055,5,,360,1,37.5,cheese cloth,Jessica,D,18-10-2022,38.5,66.4,30.9,7,
TQ-0044162,O=C(c1ccccc1)c1ccccc1,Expansion set 3,22RHEN060,5,130,360,1,37.5,Cheese cloth,Rob,B,1-Nov,100,90.2,6.32,6,
TQ-0044162,O=C(c1ccccc1)c1ccccc1,Expansion set 3,22RHEN060,5,130,360,1,37.5,Cheese cloth,Rob,B,1-Nov,83.3,90.2,6.32,6,
TQ-0044162,O=C(c1ccccc1)c1ccccc1,Expansion set 3,22RHEN060,5,130,360,1,37.5,Cheese cloth,Rob,B,2-Nov,90,90.2,6.32,6,
TQ-0044162,O=C(c1ccccc1)c1ccccc1,Expansion set 3,22JKON055,5,,360,1,37.5,cheese cloth,Jessica,D,18-10-2022,83.3,90.2,6.32,6,
TQ-0044162,O=C(c1ccccc1)c1ccccc1,Expansion set 3,22JKON054,5,,360,1,37.5,cheese cloth,Jessica,D,17-10-2022,92.9,90.2,6.32,6,
TQ-0044162,O=C(c1ccccc1)c1ccccc1,Expansion set 3,22JKON054,5,,360,1,37.5,cheese cloth,Jessica,D,17-10-2022,91.7,90.2,6.32,6,
TQ-0044161,O=C(c1ccccc1)c1cccnc1,"Expansion set 3, Tested on Culex",22RHEN060,5,130,360,1,37.5,Cheese cloth,Rob,B,1-Nov,88.9,61.2,24.1,6,
TQ-0044161,O=C(c1ccccc1)c1cccnc1,"Expansion set 3, Tested on Culex",22RHEN060,5,130,360,1,37.5,Cheese cloth,Rob,B,1-Nov,66.7,61.2,24.1,6,
TQ-0044161,O=C(c1ccccc1)c1cccnc1,"Expansion set 3, Tested on Culex",22RHEN060,5,130,360,1,37.5,Cheese cloth,Rob,B,2-Nov,77.8,61.2,24.1,6,
TQ-0044161,O=C(c1ccccc1)c1cccnc1,"Expansion set 3, Tested on Culex",22JKON055,5,,360,1,37.5,cheese cloth,Jessica,D,18-10-2022,20,61.2,24.1,6,
TQ-0044161,O=C(c1ccccc1)c1cccnc1,"Expansion set 3, Tested on Culex",22JKON054,5,,360,1,37.5,cheese cloth,Jessica,D,17-10-2022,63.6,61.2,24.1,6,
TQ-0044161,O=C(c1ccccc1)c1cccnc1,"Expansion set 3, Tested on Culex",22JKON054,5,,360,1,37.5,cheese cloth,Jessica,D,17-10-2022,50,61.2,24.1,6,
TQ-0044160,O=C(c1ccccc1)c1ccccn1,"Expansion set 3, Tested on Culex",22RHEN060,5,130,360,1,37.5,Cheese cloth,Rob,B,1-Nov,91.7,69.6,25.4,6,
TQ-0044160,O=C(c1ccccc1)c1ccccn1,"Expansion set 3, Tested on Culex",22RHEN060,5,130,360,1,37.5,Cheese cloth,Rob,B,1-Nov,75,69.6,25.4,6,
TQ-0044160,O=C(c1ccccc1)c1ccccn1,"Expansion set 3, Tested on Culex",22RHEN060,5,130,360,1,37.5,Cheese cloth,Rob,B,2-Nov,80,69.6,25.4,6,
TQ-0044160,O=C(c1ccccc1)c1ccccn1,"Expansion set 3, Tested on Culex",22JKON055,5,,360,1,37.5,cheese cloth,Jessica,D,18-10-2022,56,69.6,25.4,6,
TQ-0044160,O=C(c1ccccc1)c1ccccn1,"Expansion set 3, Tested on Culex",22JKON054,5,,360,1,37.5,cheese cloth,Jessica,D,17-10-2022,25,69.6,25.4,6,
TQ-0044160,O=C(c1ccccc1)c1ccccn1,"Expansion set 3, Tested on Culex",22JKON054,5,,360,1,37.5,cheese cloth,Jessica,D,17-10-2022,90,69.6,25.4,6,
TQ-0044100,CN(CCC#N)c1ccccc1,"Expansion set 2, Tested on Culex",23JKON034,5,130,360,1,37.5,Cheese cloth,Jessica,D,20-4-2023,80,79.2,16.3,3,
TQ-0044100,CN(CCC#N)c1ccccc1,"Expansion set 2, Tested on Culex",23JKON034,5,130,360,1,37.5,Cheese cloth,Jessica,D,20-4-2023,95,79.2,16.3,3,
TQ-0044100,CN(CCC#N)c1ccccc1,"Expansion set 2, Tested on Culex",23JKON034,5,130,360,1,37.5,Cheese cloth,Jessica,D,20-4-2023,62.5,79.2,16.3,3,
TQ-0044095,Cc1ccc(C(=O)c2ccccc2)cc1,"Expansion set 2, Tested on Culex",23JKON034,5,130,360,1,37.5,Cheese cloth,Jessica,D,20-4-2023,63.6,65.8,24.5,5,
TQ-0044095,Cc1ccc(C(=O)c2ccccc2)cc1,"Expansion set 2, Tested on Culex",23JKON034,5,130,360,1,37.5,Cheese cloth,Jessica,D,20-4-2023,71.4,65.8,24.5,5,
TQ-0044095,Cc1ccc(C(=O)c2ccccc2)cc1,"Expansion set 2, Tested on Culex",23JKON034,5,130,360,1,37.5,Cheese cloth,Jessica,D,20-4-2023,25,65.8,24.5,5,
TQ-0044095,Cc1ccc(C(=O)c2ccccc2)cc1,"Expansion set 2, Tested on Culex",22RHEN061,5,130,360,1,37.5,Cheese cloth,Rob,B,21-Nov,83.3,65.8,24.5,5,
TQ-0044095,Cc1ccc(C(=O)c2ccccc2)cc1,"Expansion set 2, Tested on Culex",22RHEN061,5,130,360,1,37.5,Cheese cloth,Rob,B,21-Nov,85.7,65.8,24.5,5,
TQ-0044094,Cc1c[nH]c2ccccc12,"Expansion set 2, Tested on Culex",22RHEN061,5,130,360,1,37.5,Cheese cloth,Rob,B,21-Dec,83.3,55.1,25.6,5,
TQ-0044094,Cc1c[nH]c2ccccc12,"Expansion set 2, Tested on Culex",22RHEN061,5,130,360,1,37.5,Cheese cloth,Rob,B,21-Dec,33.3,55.1,25.6,5,
TQ-0044094,Cc1c[nH]c2ccccc12,"Expansion set 2, Tested on Culex",22JKON071,5,,360,1,37.5,cheese cloth,Jessica,D,8/11/2022,82.6,55.1,25.6,5,
TQ-0044094,Cc1c[nH]c2ccccc12,"Expansion set 2, Tested on Culex",22JKON071,5,,360,1,37.5,cheese cloth,Jessica,D,8/11/2022,35,55.1,25.6,5,
TQ-0044094,Cc1c[nH]c2ccccc12,"Expansion set 2, Tested on Culex",22JKON071,5,,360,1,37.5,cheese cloth,Jessica,D,8/11/2022,41.2,55.1,25.6,5,
TQ-0044076,CCOC(=O)C1CCN(C(=O)OC(C)(C)C)CC1,"Expansion set 2, Expansion set 4, Tested on Culex",22RHEN061,5,130,360,1,37.5,Cheese cloth,Rob,B,21-Dec,50,72.4,29,5,
TQ-0044076,CCOC(=O)C1CCN(C(=O)OC(C)(C)C)CC1,"Expansion set 2, Expansion set 4, Tested on Culex",22RHEN061,5,130,360,1,37.5,Cheese cloth,Rob,B,21-Dec,33.3,72.4,29,5,
TQ-0044076,CCOC(=O)C1CCN(C(=O)OC(C)(C)C)CC1,"Expansion set 2, Expansion set 4, Tested on Culex",22JKON071,5,,360,1,37.5,cheese cloth,Jessica,D,8/11/2022,88.2,72.4,29,5,
TQ-0044076,CCOC(=O)C1CCN(C(=O)OC(C)(C)C)CC1,"Expansion set 2, Expansion set 4, Tested on Culex",22JKON071,5,,360,1,37.5,cheese cloth,Jessica,D,8/11/2022,100,72.4,29,5,
TQ-0044076,CCOC(=O)C1CCN(C(=O)OC(C)(C)C)CC1,"Expansion set 2, Expansion set 4, Tested on Culex",22JKON071,5,,360,1,37.5,cheese cloth,Jessica,D,8/11/2022,90.5,72.4,29,5,
TQ-0044074,COc1ccc(C=O)c(OC)c1,"Expansion set 2, Tested on Culex",22RHEN061,5,130,360,1,37.5,Cheese cloth,Rob,B,21-Dec,18.2,71.3,31.7,6,
TQ-0044074,COc1ccc(C=O)c(OC)c1,"Expansion set 2, Tested on Culex",22RHEN061,5,130,360,1,37.5,Cheese cloth,Rob,B,21-Dec,46.2,71.3,31.7,6,
TQ-0044074,COc1ccc(C=O)c(OC)c1,"Expansion set 2, Tested on Culex",22RHEN061,5,130,360,1,37.5,Cheese cloth,Rob,B,22-Dec,93.8,71.3,31.7,6,
TQ-0044074,COc1ccc(C=O)c(OC)c1,"Expansion set 2, Tested on Culex",22JKON071,5,,360,1,37.5,cheese cloth,Jessica,D,8/11/2022,94.4,71.3,31.7,6,
TQ-0044074,COc1ccc(C=O)c(OC)c1,"Expansion set 2, Tested on Culex",22JKON071,5,,360,1,37.5,cheese cloth,Jessica,D,8/11/2022,88.9,71.3,31.7,6,
TQ-0044074,COc1ccc(C=O)c(OC)c1,"Expansion set 2, Tested on Culex",22JKON071,5,,360,1,37.5,cheese cloth,Jessica,D,8/11/2022,86.7,71.3,31.7,6,
TQ-0044066,COC(=O)C1CCN(C(=O)OC(C)(C)C)CC1,"Expansion set 2, Tested on Culex",23JKON052,130,,5,1,37.5,Cheese cloth,Jessica,D,25-7-2023,90.9,72.7,34.1,3,
TQ-0044066,COC(=O)C1CCN(C(=O)OC(C)(C)C)CC1,"Expansion set 2, Tested on Culex",23JKON052,130,,5,1,37.5,Cheese cloth,Jessica,D,25-7-2023,93.8,72.7,34.1,3,
TQ-0044066,COC(=O)C1CCN(C(=O)OC(C)(C)C)CC1,"Expansion set 2, Tested on Culex",23JKON051,130,,5,1,37.5,Cheese cloth,Jessica,D,21-7-2023,33.3,72.7,34.1,3,
TQ-0044044,CCOC=C(C#N)C#N,"Expansion set 2, Tested on Culex",22RHEN061,5,130,360,1,37.5,Cheese cloth,Rob,B,21-Nov,87.5,47,35.7,6,
TQ-0044044,CCOC=C(C#N)C#N,"Expansion set 2, Tested on Culex",22RHEN061,5,130,360,1,37.5,Cheese cloth,Rob,B,21-Nov,81.8,47,35.7,6,
TQ-0044044,CCOC=C(C#N)C#N,"Expansion set 2, Tested on Culex",22RHEN061,5,130,360,1,37.5,Cheese cloth,Rob,B,21-Dec,-10,47,35.7,6,
TQ-0044044,CCOC=C(C#N)C#N,"Expansion set 2, Tested on Culex",22JKON071,5,,360,1,37.5,cheese cloth,Jessica,D,8/11/2022,31.6,47,35.7,6,
TQ-0044044,CCOC=C(C#N)C#N,"Expansion set 2, Tested on Culex",22JKON071,5,,360,1,37.5,cheese cloth,Jessica,D,8/11/2022,41.2,47,35.7,6,
TQ-0044044,CCOC=C(C#N)C#N,"Expansion set 2, Tested on Culex",22JKON071,5,,360,1,37.5,cheese cloth,Jessica,D,8/11/2022,50,47,35.7,6,
TQ-0043867,CC(=O)OCCOCOC(C)=O,"Batch 7 repellents, Expansion set 2",22RHEN035,5,,360,1,37.5,Cheese cloth,,B,,71.4,64,12.1,3,0.5
TQ-0043867,CC(=O)OCCOCOC(C)=O,"Batch 7 repellents, Expansion set 2",22RHEN035,5,,360,1,37.5,Cheese cloth,,B,,50,64,12.1,3,0.5
TQ-0043867,CC(=O)OCCOCOC(C)=O,"Batch 7 repellents, Expansion set 2",22RHEN035,5,,360,1,37.5,Cheese cloth,,B,,70.6,64,12.1,3,0.5
TQ-0043866,CCOC(CC(C#N)C(=O)OCC)OCC,"Batch 7 repellents, Tested on Culex",22JKON035,5,,360,1,37.5,cheese cloth,Jessica,D,22-9-2022,92.9,95.7,3.97,6,
TQ-0043866,CCOC(CC(C#N)C(=O)OCC)OCC,"Batch 7 repellents, Tested on Culex",22JKON034,5,,360,1,37.5,cheese cloth,Jessica,D,20-9-2022,90,95.7,3.97,6,
TQ-0043866,CCOC(CC(C#N)C(=O)OCC)OCC,"Batch 7 repellents, Tested on Culex",22JKON034,5,,360,1,37.5,cheese cloth,Jessica,D,20-9-2022,96.6,95.7,3.97,6,
TQ-0043866,CCOC(CC(C#N)C(=O)OCC)OCC,"Batch 7 repellents, Tested on Culex",22RHEN043,5,,360,1,37.5,Cheese cloth,,B,5-Aug,95,95.7,3.97,6,0.5
TQ-0043866,CCOC(CC(C#N)C(=O)OCC)OCC,"Batch 7 repellents, Tested on Culex",22RHEN043,5,,360,1,37.5,Cheese cloth,,B,5-Aug,100,95.7,3.97,6,0.5
TQ-0043866,CCOC(CC(C#N)C(=O)OCC)OCC,"Batch 7 repellents, Tested on Culex",22RHEN043,5,,360,1,37.5,Cheese cloth,,B,8-Aug,100,95.7,3.97,6,0.5
TQ-0043863,CCCCCc1ccc(C(C)=O)cc1,Batch 7 repellents,22RHEN035,5,,360,1,37.5,Cheese cloth,,B,,80,80.6,5.85,3,0.5
TQ-0043863,CCCCCc1ccc(C(C)=O)cc1,Batch 7 repellents,22RHEN035,5,,360,1,37.5,Cheese cloth,,B,,86.7,80.6,5.85,3,0.5
TQ-0043863,CCCCCc1ccc(C(C)=O)cc1,Batch 7 repellents,22RHEN035,5,,360,1,37.5,Cheese cloth,,B,,75,80.6,5.85,3,0.5
TQ-0043859,CCCCN(CCC#N)c1ccccc1,"Batch 7 repellents, Tested on Culex",22JKON012,5,130,360,1,37.5,cheese cloth,Jessica,D,23-8-2022,100,99.2,2.04,6,
TQ-0043859,CCCCN(CCC#N)c1ccccc1,"Batch 7 repellents, Tested on Culex",22JKON011,5,130,360,1,37.5,cheese cloth,Jessica,D,22-8-2022,95,99.2,2.04,6,
TQ-0043859,CCCCN(CCC#N)c1ccccc1,"Batch 7 repellents, Tested on Culex",22JKON011,5,130,360,1,37.5,cheese cloth,Jessica,D,22-8-2022,100,99.2,2.04,6,
TQ-0043859,CCCCN(CCC#N)c1ccccc1,"Batch 7 repellents, Tested on Culex",22RHEN043,5,,360,1,37.5,Cheese cloth,,B,3-Aug,100,99.2,2.04,6,0.5
TQ-0043859,CCCCN(CCC#N)c1ccccc1,"Batch 7 repellents, Tested on Culex",22RHEN043,5,,360,1,37.5,Cheese cloth,,B,3-Aug,100,99.2,2.04,6,0.5
TQ-0043859,CCCCN(CCC#N)c1ccccc1,"Batch 7 repellents, Tested on Culex",22RHEN043,5,,360,1,37.5,Cheese cloth,,B,5-Aug,100,99.2,2.04,6,0.5
TQ-0043846,CCOC(=O)CCNCc1ccccc1,"Batch 7 repellents, Tested on Culex",22JKON012,5,130,360,1,37.5,cheese cloth,Jessica,D,23-8-2022,7.69,22.6,17,7,
TQ-0043846,CCOC(=O)CCNCc1ccccc1,"Batch 7 repellents, Tested on Culex",22JKON011,5,130,360,1,37.5,cheese cloth,Jessica,D,22-8-2022,7.69,22.6,17,7,
TQ-0043846,CCOC(=O)CCNCc1ccccc1,"Batch 7 repellents, Tested on Culex",22JKON011,5,130,360,1,37.5,cheese cloth,Jessica,D,22-8-2022,50,22.6,17,7,
