 ,Mean(01),Mean(02),Mean(03),Mean(04),Mean(05),Mean(06),Mean(07),Mean(08),Mean(09),Mean(10),Mean(11),Mean(12),Mean(13),Mean(14),Mean(15),Mean(16)
1,1169.891,943.105,1357.386,1198.595,1113.974,752.416,585.072,535.783,479.323,823.050,742.136,602.343,751.380,490.847,678.892,1008.377
2,1204.594,961.367,1361.893,1166.158,1228.437,745.247,607.715,554.720,510.791,805.513,807.437,598.902,795.882,500.114,611.413,1014.353
3,1244.122,982.354,1398.094,1216.997,1227.393,739.405,588.004,568.141,517.987,794.664,804.991,668.438,783.299,522.846,659.606,1030.627
4,1165.777,961.706,1323.200,1202.620,1222.335,702.409,599.241,503.734,529.669,794.445,724.419,651.105,774.607,562.391,687.856,1008.024
5,1178.233,957.725,1333.695,1195.753,1229.346,768.384,545.738,530.526,500.753,896.203,711.867,666.992,738.577,530.193,704.822,985.708
6,1302.158,939.020,1340.044,1178.216,1273.976,692.481,627.766,561.892,467.140,806.060,769.909,612.258,790.629,592.700,706.704,958.708
7,1205.982,907.805,1284.446,1135.493,1236.586,675.361,623.124,538.524,467.718,854.124,694.793,631.858,783.001,546.801,686.857,1018.271
8,1206.774,932.513,1373.815,1179.568,1196.416,693.918,604.786,544.501,495.922,881.230,678.048,611.650,724.317,512.953,682.498,972.465
9,1254.026,942.957,1360.014,1205.196,1219.031,700.533,547.864,617.908,468.042,791.534,720.889,634.414,810.897,548.457,633.271,1043.110
10,1266.731,1007.492,1359.253,1156.777,1203.806,692.136,546.858,494.344,468.760,833.851,730.644,625.247,762.353,492.384,704.637,1034.613
11,1178.195,962.978,1373.784,1144.490,1167.401,721.960,539.462,530.753,460.975,751.127,699.012,620.324,746.736,530.397,675.263,1031.947
12,1190.291,927.828,1324.058,1201.485,1187.834,702.219,588.908,540.104,525.465,853.965,729.783,621.003,791.386,517.585,728.036,1041.417
13,1218.060,935.719,1284.215,1159.768,1206.911,678.188,583.495,501.411,474.282,798.522,678.632,654.112,799.764,575.519,720.644,1055.457
14,1196.830,895.447,1308.567,1151.929,1186.912,682.524,557.677,543.055,477.841,808.655,653.662,600.066,740.873,552.668,700.139,980.180
15,1170.852,960.978,1286.306,1140.279,1234.705,794.084,555.989,553.859,468.574,777.044,689.718,632.030,740.857,524.430,700.372,998.390
16,1159.616,943.979,1353.719,1154.110,1125.671,718.633,589.296,628.389,497.623,790.831,670.252,640.019,780.995,575.455,742.868,1020.801
17,1204.083,960.542,1379.952,1219.181,1118.790,724.708,573.051,527.744,504.069,801.471,695.201,655.502,738.543,449.239,677.214,990.906
18,1132.556,941.923,1327.541,1167.658,1244.875,767.710,557.618,535.804,521.191,712.973,735.216,651.166,738.258,502.488,662.513,1016.598
19,1200.844,913.194,1318.050,1140.844,1193.269,744.088,529.934,524.965,469.171,725.104,686.652,633.355,807.632,563.608,712.394,1036.000
20,1221.624,916.609,1347.088,1178.520,1158.934,726.723,585.859,560.252,512.157,715.821,688.675,579.166,775.995,464.144,669.445,1041.953
21,1257.367,937.124,1328.717,1131.494,1233.747,758.106,633.535,593.182,572.899,835.025,677.847,582.318,768.941,504.019,733.979,1045.379
22,1255.691,1015.010,1427.153,1182.234,1259.316,751.900,658.899,570.235,544.622,893.216,693.397,575.481,827.309,597.448,727.025,1042.914
23,1281.779,1060.105,1443.578,1256.160,1384.429,750.893,606.247,573.401,543.196,837.334,730.772,609.189,828.244,559.272,721.184,1080.115
24,1272.606,1107.829,1439.502,1259.913,1307.513,795.761,666.866,539.366,486.057,907.564,686.478,611.867,742.365,454.112,703.676,1125.630
25,1241.205,1051.164,1434.652,1265.148,1305.311,692.730,640.561,594.501,484.546,875.396,729.576,577.757,776.515,547.661,715.514,1039.225
26,1241.956,1015.467,1447.031,1244.059,1267.924,716.889,704.814,557.454,505.030,860.367,687.859,621.541,797.654,509.509,747.900,1022.019
27,1178.497,982.545,1453.366,1259.589,1313.106,676.309,648.591,571.847,523.323,783.841,702.210,594.583,758.989,517.866,711.208,1080.587
28,1227.673,1010.109,1412.431,1189.995,1313.898,674.560,659.888,541.826,473.997,853.289,668.459,600.101,786.910,585.138,762.442,1048.704
29,1239.323,1019.972,1500.196,1230.557,1281.642,703.939,604.263,595.045,515.838,748.395,710.550,608.326,791.935,544.590,746.146,1074.173
30,1209.147,1001.463,1434.667,1221.894,1206.458,706.480,591.382,537.849,480.280,777.824,657.957,602.652,733.139,581.757,767.220,1022.756
31,1220.148,948.155,1447.726,1172.730,1287.663,713.659,567.711,596.290,478.039,729.406,701.124,599.380,774.256,527.850,677.992,1076.397
32,1170.318,1008.702,1440.547,1213.276,1180.478,720.619,573.358,535.055,556.748,677.973,701.311,547.666,758.985,517.557,700.475,1061.519
33,1238.067,1054.515,1447.561,1207.230,1270.758,659.435,603.154,602.082,555.959,675.083,623.392,668.083,802.339,569.258,715.613,1043.354
34,1193.974,964.019,1383.890,1164.563,1267.876,727.611,629.681,560.534,528.101,772.781,678.814,576.285,792.514,592.859,683.055,1040.205
35,1256.780,1006.001,1415.153,1224.090,1236.979,737.661,660.757,577.053,528.439,761.005,662.374,596.068,758.471,624.881,746.876,1039.974
36,1117.116,1009.035,1409.076,1191.818,1243.955,733.799,628.265,577.532,516.980,804.737,657.800,612.932,781.891,599.403,747.905,1038.626
37,1251.219,994.283,1425.266,1240.381,1269.129,751.955,618.676,568.215,538.350,814.375,667.075,582.353,780.189,510.581,676.597,1016.225
38,1204.840,982.036,1394.584,1207.216,1236.025,700.899,623.591,536.074,494.336,805.122,708.369,613.708,797.550,598.925,690.425,1061.731
39,1216.421,1003.631,1402.172,1202.422,1209.986,705.471,610.241,576.102,523.752,748.943,711.547,567.539,760.842,543.987,692.132,990.161
40,1146.664,960.185,1397.855,1219.979,1230.729,722.812,619.061,547.540,524.487,754.110,687.773,606.032,775.789,519.425,670.368,1049.818
41,1177.835,951.713,1418.753,1178.741,1210.057,801.130,633.972,617.479,537.517,641.510,691.942,577.182,783.726,536.968,683.555,1019.729
42,1209.989,994.501,1405.454,1252.508,1263.883,756.141,635.812,556.384,536.721,784.664,757.191,570.316,758.136,543.690,751.833,1055.691
43,1156.053,956.350,1399.309,1159.660,1196.694,785.338,649.420,547.235,503.791,685.967,698.415,595.492,801.078,518.234,710.581,1047.424
44,1170.030,943.475,1396.982,1200.792,1225.180,735.423,598.996,576.601,479.201,726.058,668.477,564.622,789.339,557.852,676.822,1058.443
45,1207.131,957.249,1415.606,1197.575,1248.264,731.008,621.761,579.010,533.172,821.766,674.108,586.336,805.065,587.313,708.036,1078.731
46,1187.828,937.035,1410.695,1160.223,1155.645,761.520,592.734,556.041,482.240,798.879,723.739,610.552,785.455,491.360,677.365,1099.397
47,1187.355,937.806,1408.635,1182.333,1225.273,701.564,616.176,580.481,494.292,706.381,731.483,585.718,803.926,563.736,717.804,1067.759
48,1190.372,940.384,1366.833,1215.768,1258.523,732.848,614.339,565.548,527.291,769.539,762.594,572.654,796.324,487.041,748.410,1070.765
49,1169.784,942.450,1357.994,1181.673,1144.979,729.128,641.618,558.920,507.417,769.040,744.947,667.488,775.186,517.563,810.633,1007.204
50,1153.195,951.846,1394.686,1167.311,1183.634,790.105,609.166,571.771,515.169,822.789,770.062,580.628,748.756,520.589,695.841,1051.779
51,1150.205,935.200,1408.064,1192.785,1153.560,779.348,635.865,552.207,540.017,831.222,802.779,605.066,777.715,528.708,727.368,1077.490
52,1125.254,962.871,1384.410,1151.572,1222.314,792.023,612.046,574.994,513.149,772.521,790.346,624.100,784.993,599.739,697.238,1040.519
